Question-ID,Principle,Indicators,Questions,Plain-english,Explanation,Author,DAO,Search_Difficulty,Document,Response-Values-2024_03_10,Points,Points-NA
BSP-11,Broad Stakeholder Participation,Ownership,Does the DAO have a shared ownership model?,No,"GTC token holders have governance rights, but not economic rights. Though, GTC tokens are tradeable on multiple markets, giving GTC tokens an economic value.",Charles Adjovu,Gitcoin,Easy,"Introducing GTC – Gitcoin’s Governance Token,Gitcoin DAO Governance Process v3",No,0.0,0.000
BSP-12,Broad Stakeholder Participation,Management,Does the DAO have a well-defined procedure for how members can take defined leadership or management roles?,Yes,Gitcoin's process for becoming a Steward is a self-nomination process,Charles Adjovu,Gitcoin,Easy,"How do I become a Gitcoin Steward?,Introducing Stewards Governance",Yes,100.0,100.000
BSP-13,Broad Stakeholder Participation,Economic,Does the DAO provide members multifaceted activities to receive rewards?,Partial,"GTC token holders can work in various workstreams (e.g., Public Goods Funding or Fraud Defense and Detection) and be compensated for their contributions in GTC tokens. Though, joining a workstream is not exclusive to GTC token holders.",Charles Adjovu,Gitcoin,Easy,Gitcoin DAO Governance Process v3,Partial,50.0,50.000
CBC-01,Cross-border Coordination,Geolocation,Does the DAO have leadership from multiple geographic regions?,Yes,"Gitcoin has delegates from multiple geographic regions. Notably, Austin Griffith from Colorado, United States of America, North America, and Kris Is from Brussels, Belgium, Europe.",Charles Adjovu,Gitcoin,Hard,"Kris Is profile on Tally as a Gitcoin Delegate,Austin Griffith profile on Tally as a Gitcoin Delegate,Gitcoin Delegates on Tally,Gitcoin DAO Governance Process v3",Yes,100.0,100.000
CBC-02,Cross-border Coordination,Geolocation,Does the DAO have members in multiple geographic regions?,Yes,"Gitcoin has delegates from multiple geographic regions. Notably, Austin Griffith from Colorado, United States of America, North America, and Kris Is from Brussels, Belgium, Europe.",Charles Adjovu,Gitcoin,Hard,"Kris Is profile on Tally as a Gitcoin Delegate,Austin Griffith profile on Tally as a Gitcoin Delegate,Gitcoin Delegates on Tally,Gitcoin DAO Governance Process v3",Yes,100.0,100.000
CBC-03,Cross-border Coordination,Geolocation,Does the DAO have managers from multiple geographic regions?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,,Does not answer question,0.0,0.000
PDC-01,Practicing DAO Cooperativism,Economic,Does the DAO have a collective treasury (or multisig account)?,Yes,Gitcoin has multiple multisig accounts managed on Gnosis Safe.,Charles Adjovu,Gitcoin,Medium,Gitcoin Profile on Tally,Yes,100.0,100.000
PDC-02,Practicing DAO Cooperativism,Measurement,"Does the DAO have currencies recognizing value beyond financial relations, such as labor, contributor well-being, or environmental impact?",Partial,"Gitcoin does not use a specific currency to recognize contributions beyond token holdings. However, Gitcoin does issue the Gitcoin Outstanding Steward award to the stewards/contributors with the top ten highest scores on Karma to ""recognize those who have gone 'above and beyond'."" The recipents receive a specially made POAP. ",Charles Adjovu,Gitcoin,Medium,"What is Gitcoin?,Introducing GTC – Gitcoin’s Governance Token,Tools used by GitcoinDAO,Gitcoin Outstanding Steward Award",Partial,50.0,50.000
PDC-03,Practicing DAO Cooperativism,Identity,Does the DAO have a collective membership mark to signify membership in the DAO?,Yes,Collective Membership is signified by ownership or possession of the GTC token.,Charles Adjovu,Gitcoin,Easy,"Introducing GTC – Gitcoin’s Governance Token,What is Gitcoin?",Yes,100.0,100.000
PDC-04,Practicing DAO Cooperativism,Economic,Does the DAO redistribute profits/surplus on a basis other than capital holdings?,No,GTC token holders do not earn profits/surplus on a basis other than capital holdings.,Charles Adjovu,Gitcoin,Medium,Introducing GTC – Gitcoin’s Governance Token,No,0.0,0.000
PDC-05,Practicing DAO Cooperativism,Accountability,Does the DAO have any accountability mechanisms that subject the power of leaders and managers to the members?,Partial,"Gitcoin relies on the Code of Conduct and Rules of Engagement as an accountability mechanism for GTC token holders. Additionally, Gitcoin uses a Stewards dashboard and steward scores as a means for implicit accountability of stewards. Though, there is not a formal (or explicit) accountability mechanism for delegates nor members of workstreams.",Charles Adjovu,Gitcoin,Medium,"Stewards of Gitcoin DAO,Gitcoin Code of Conduct,Forum Guidelines and Code of Conduct 2023,Gitcoin DAO Governance Process v3",Partial,50.0,50.000
PDC-06,Practicing DAO Cooperativism,Accountability,"Does the DAO have an amendment procedure for its rules, procedures or policies?",Partial,"Gitcoin has an amendment procedure, but the amendment procedure is not well-defined.",Charles Adjovu,Gitcoin,Easy,Gitcoin DAO Governance Process v3,Partial,50.0,50.000
PDC-07,Practicing DAO Cooperativism,Accountability,Does the DAO have a decision-making matrix?,Partial,"Gitcoin has a defined governance process, described in a single document for how GTC token holders can vote on proposals. However, there was little to no information on how workstreams make decisions.",Charles Adjovu,Gitcoin,Medium,Gitcoin DAO Governance Process v3,Partial,50.0,50.000
PDC-08,Practicing DAO Cooperativism,Measurement,"Does the DAO have metrics beyond governance and finance, such as contributor well-being or happiness?",Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,,Does not answer question,0.0,0.000
PDC-09,Practicing DAO Cooperativism,Ownership,Does the DAO have separate tokens for governance and economic rights?,Partial,"The GTC token grants holders governance rights in Gitcoin DAO. GTC token does not grant holders economic rights, but GTC tokens are used as compensation to members of workstreams. Gitcoin does not have a token granting holders economic rights.",Charles Adjovu,Gitcoin,Medium,"Introducing GTC – Gitcoin’s Governance Token,Gitcoin DAO Governance Process v3",Partial,50.0,50.000
PDC-10,Practicing DAO Cooperativism,Economic,Does the DAO not make governance tokens tradeable?,No,GTC tokens are tradeable on multiple cryptocurrency markets.,Charles Adjovu,Gitcoin,Easy,Gitcoin Profile on CoinGecko,No,0.0,0.000
PDC-11,Practicing DAO Cooperativism,Engagement,Does the DAO provide education and training opportunities for members to meaningful participate in governance?,Partial,"Gitcoin provides multiple guides covering topics on the governance process, and Gitcoin provides a proposal template. However, there are no educational resources (e.g., courses, videos) on participating in governance.",Charles Adjovu,Gitcoin,Easy,"Gitcoin DAO Governance Process v3,Gitcoin Community Proposal (GCP) Template",Partial,50.0,50.000
CPB-01,Cultural Patterns and Brand,Narratives,Does the DAO publish content on its activites in its' public channels?,Yes,"Gitcoin publishes updates and other announcements in the GitcoinDAO Digest on the Gitcoin Governance forum (under the News and Community category), the Gitcoin Blog, and on Gitcoin's Twitter account.",Charles Adjovu,Gitcoin,Easy,"Gitcoin Digest #1 2023,Gitcoin - Blog,Gitcoin Profile on Twitter",Yes,100.0,100.000
CPB-02,Cultural Patterns and Brand,Identity,"Does the DAO make an explicit, clearly articulated statement of its purpose, values and norms?",Yes,"Gitcoin has an explicit, clearly articulated statement of its purpose, values and norms.  Gitcoin's vision is ""a world shaped by community-led positive change."" Gitcoin's mission is ""to empower communities to fund their shared needs."" Alternatively, Gitcoin's mission is ""to build and fund digital public goods."" Regarding values, Gitcoin's values could be open internet, open economies, and open source.
",Charles Adjovu,Gitcoin,Hard,"About Us,What is Gitcoin?,Gitcoin Bounties Mission",Yes,100.0,100.000
IDA-01,Information & Data Transparency,Analytics,Does the DAO provide an organizational analytics dashboard?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,,Does not answer question,0.0,0.000
IDA-02,Information & Data Transparency,Information,"Does the DAO make its governance activities (e.g., proposals, decisions) publicly accessible at free to low-cost?",Yes,Gitcoin's governance activities can be found on the Gitcoin profile on Snapshot.,Charles Adjovu,Gitcoin,Easy,"Gitcoin Profile on Snapshot,Gitcoin Governance Hub",Yes,100.0,100.000
IDA-03,Information & Data Transparency,Information,"Does the DAO make its organizational documents (bylaws, policies, strategic plan, etc.) publicly accessible at free to low-cost?",Yes,"Gitcoin's organizational documents are publicly accessible in the Gitcoin Contributor Hub, under the DAO Policies and Documentation heading and Important Docs heading.
",Charles Adjovu,Gitcoin,Hard,"Gitcoin Contributor Hub,GCP Database,DAO Roadmaps",Yes,100.0,100.000
IDA-04,Information & Data Transparency,Information,"Does the DAO make its technologies open source or source available, and publicly accessible at free to low-cost?",Yes,"Gitcoin makes its technological products open-source or source-available. The Grants Stack and Passport are licensed under the GNU AFFERO GENERAL PUBLIC LICENSE, Version 3, 19 November 2007. The Allo Protocol is not licensed as of writing.
",Charles Adjovu,Gitcoin,Medium,"""Grants Stack License: GNU AFFERO GENERAL PUBLIC LICENSE, Version 3, 19 November 2007"",""Passport License: Grants Stack License: GNU AFFERO GENERAL PUBLIC LICENSE, Version 3, 19 November 2007"",Allo Procotol Contracts",Yes,100.0,100.000
IDA-05,Information & Data Transparency,Audit,"Does the DAO explicitly report whether any Web3 tools it uses, internally or externally, have been audited?",Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,,Does not answer question,0.0,0.000
IDA-06,Information & Data Transparency,Information,"Does the DAO explicitly state that it operates on, or interacts with, more than one (1) blockchain?",Yes,Gitcoin interacts with or operates on the Ethereum blockchain and on the Ceramic Network blockchain. The GTC token is deployed on the Ethereum blockchain. The Gitcoin Passport scores utilize data from the Ceramic Network blockchain.,Charles Adjovu,Gitcoin,Medium,Why do I need to rescore my passport after collecting a new stamp?,Yes,100.0,100.000
IDA-07,Information & Data Transparency,Compensation,Does the DAO explicitly describe it’s financial incentive or compensation structure for contributors?,Yes,"For contributors that are part of a workstream(s), the workstream members can be compensated for their contributions by submitting a request for ""funding from the Gitcoin DAO treasury,"" as a budget proposal, or seeking outside funding. Additionally, contributors can be compensated for finding security flaws in Gitcoin's software as part of the Gitcoin Bug Bounty Program.",Charles Adjovu,Gitcoin,Medium,"Gitcoin DAO Governance Process v3,[S14 Proposal - Amended ] DAO Operations S14 Budget Request,Gitcoin Security Bounty Program",Yes,100.0,100.000
D2D-01,DAO2DAO,Transactions,Does the DAO have any planned transactions with another DAO?,Yes,Gitcoin is partnering with Index Coop to create Gitcoin Staked ETH Index (gtcETH).,Charles Adjovu,Gitcoin,Easy,Introducing gtcETH: A New Way to Fund Public Goods through Staked ETH,Yes,100.0,100.000
D2D-02,DAO2DAO,Transactions,Does the DAO have any current transactions with another DAO?,Yes,Gitcoin has a current transaction with Bankless DAO on the use of Passport for Bankless Academy.,Charles Adjovu,Gitcoin,Medium,Bankless Academy - A Gitcoin Passport Case Study,Yes,100.0,100.000
OT-01,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for business-to-business operations?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,,Does not answer question,0.0,0.000
OT-02,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for treasury management?,Yes,Gitcoin utilizes Gnosis Safe.,Charles Adjovu,Gitcoin,Easy,Gitcoin Profile on Tally,Yes,100.0,100.000
OT-03,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for contribution-tracking?,Partial,"Gitcoin utilizes Karma to track Steward's governance activities. Though, the contribution-tracking does not extend to any and all contributions that can be made in Gitcoin.",Charles Adjovu,Gitcoin,Medium,"Stewards of Gitcoin DAO,Introducing Stewards Governance",Partial,50.0,50.000
OT-04,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for decision-making?,Yes,Gitcoin utilizes Snapshot and a fork of Compound's Governor framework.,Charles Adjovu,Gitcoin,Easy,"Gitcoin Profile on DeepDAO,Gitcoin Profile on Snapshot,Introducing GTC – Gitcoin’s Governance Token,Gitcoin DAO Governance Process v3",Yes,100.0,100.000
HCAG-01,Human-centered Algorithmic Governance,Accountability,Does the DAO explicitly acknowledge the possible vulnerabilities of algorithmic decision-making?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,,Does not answer question,0.0,0.000
HCAG-02,Human-centered Algorithmic Governance,Engagement,"Does the DAO educate its members on the development and use of algorithms, as they pertain to the DAO?",Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,,Does not answer question,0.0,0.000
HCAG-03,Human-centered Algorithmic Governance,Fairness & Bias,Does the DAO explicitly consider the short- and long-term social consequences of the algorithmic systems in the development and use of algorithms?,Yes,Gitcoin explicitly considers the consequences of algorithmic harms in the Understanding Potential Attack Vectors section. ,Charles Adjovu,Gitcoin,Easy,"Understanding Potential Attack Vectors,Gitcoin DAO Governance Process v3",Yes,100.0,100.000
BSP-01,Broad Stakeholder Participation,Economic Inequality,Is the DAO 's Gini Coefficient for economic tokens less than or equal to fifty percent ( <= 50%)?,Partial,MakerDAO only provides partial information on it's Gini Coefficient.,Charles Adjovu,MakerDAO,,,Partial,50.0,50.000
BSP-02,Broad Stakeholder Participation,Voting Power,Is the Banzhaf Index for each individual member less than or equal to twenty-five percent (<= 25.0%)?,Does not answer question,Unable to find an adequate source,Charles Adjovu,MakerDAO,,,Does not answer question,0.0,0.000
BSP-03,Broad Stakeholder Participation,Communication,Does the DAO explicitly state that private communication channels are for sensitive or confidential matters?,Does not answer question,Unable to find an adequate source,Charles Adjovu,MakerDAO,,,Does not answer question,0.0,0.000
BSP-04,Broad Stakeholder Participation,Identity,Does the DAO explicitly require members to verify that they have a unique digital identity?,No,MakerDAO does not require members to verify that they have a unique digital identity.,Charles Adjovu,MakerDAO,,,No,0.0,0.000
BSP-05,Broad Stakeholder Participation,Management,Does the DAO have any leadership roles?,Yes,"Delegates and the founder, Rune Christesen,  can be considered leaders of MakerDAO",Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
BSP-06,Broad Stakeholder Participation,Management,Does the DAO have any management roles?,Yes,"MakerDAO has Core Units that manage specific areas or functions related to the Maker Protocol or the DAO, e.g., the Risk teams. These Core Units are led by Facilitators, ""are the accountable individuals responsible for interfacing between Maker Governance, the Contributors, and external resources to achieve the Core Objectives of the Protocol. Facilitators are always attached to one or more Core Units and cannot exist in a void, i.e., Facilitators are Facilitators only if they are attached to at least one Core Unit.""",Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
BSP-07,Broad Stakeholder Participation,Conduct,"Does the DAO require members to adhere to a standard of conduct, such as described in a code of conduct?",Partial,MakerDAO requires recognized delegates to adhere to the Recognized Delegate Code of Conduct.,Charles Adjovu,MakerDAO,,,Partial,50.0,50.000
BSP-08,Broad Stakeholder Participation,Language,Does the DAO provide a glossary of internal terms?,Yes,MakerDAO provides a glossary of internal terms on their website.,Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
BSP-09,Broad Stakeholder Participation,Governance,Does the DAO use a participatory governance model?,Yes,"MakerDAO employs a participatory governance system based on access, agency, and accountability.

1. Access
    a. MKR token holders can access governance-related information on the MakerDAO Voting Portal and MakerDAO forum
2. Agency
    a. MKR token holders can submit polls or executive votes on-chain via the MakerDAO governance smart contracts , interactable on the MakerDAO Voting Portal
    b. MKR token holders can become a delegate (recognized delegate or shadow delegate) via the delegation smart contract. Recognized delegates must complete the Recognized Delegate Requirements.
    c. MKR token holders can join and discuss governance matters on the MakerDAO forum
3. Accountability
    a. MKR token holders can elect and repeal delegates (i.e., proxies) who vote on their behalf
",Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
BSP-10,Broad Stakeholder Participation,Dispute Resolution,Does the DAO have an explicitly defined dispute resolution mechanism?,Does not answer question,Unable to find an adequate source,Charles Adjovu,MakerDAO,,,Does not answer question,0.0,0.000
BSP-11,Broad Stakeholder Participation,Ownership,Does the DAO have a shared ownership model?,Yes,MKR token holders have both governance rights and economic rights. ,Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
BSP-12,Broad Stakeholder Participation,Management,Does the DAO have a well-defined procedure for how members can take defined leadership or management roles?,Yes,MakerDAO has a well-defined procedure for becoming a Recognized Delegate (leadership role). ,Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
BSP-13,Broad Stakeholder Participation,Economic,Does the DAO provide members multifaceted activities to receive rewards?,Yes,The Maker DAO core teams cover a wide array of activities.,Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
CBC-01,Cross-border Coordination,Geolocation,Does the DAO have leadership from multiple geographic regions?,Does not answer question,Unable to find an adequate source,Charles Adjovu,MakerDAO,,,Does not answer question,0.0,0.000
CBC-02,Cross-border Coordination,Geolocation,Does the DAO have members in multiple geographic regions?,Yes,"Maker DAO has token holders from multiple countries, including the United States of America and England (refer to London Business School).",Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
CBC-03,Cross-border Coordination,Geolocation,Does the DAO have managers from multiple geographic regions?,Does not answer question,The Facilitators of Maker DAO's core units can be considered managers. ,Charles Adjovu,MakerDAO,,,Does not answer question,0.0,0.000
PDC-01,Practicing DAO Cooperativism,Economic,Does the DAO have a collective treasury (or multisig account)?,Yes,Maker DAO has three currently approved multi-sig wallets.,Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
PDC-02,Practicing DAO Cooperativism,Measurement,"Does the DAO have currencies recognizing value beyond financial relations, such as labor, contributor well-being, or environmental impact?",No,Maker DAO does not use a specific currency (only the general DAI) to recognize contributions. ,Charles Adjovu,MakerDAO,,,No,0.0,0.000
PDC-03,Practicing DAO Cooperativism,Identity,Does the DAO have a collective membership mark to signify membership in the DAO?,Yes,Collective Membership is signified by ownership or possession of the MKR token.,Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
PDC-04,Practicing DAO Cooperativism,Economic,Does the DAO redistribute profits/surplus on a basis other than capital holdings?,Does not answer question,Unable to find an adequate source,Charles Adjovu,MakerDAO,,,Does not answer question,0.0,0.000
PDC-05,Practicing DAO Cooperativism,Accountability,Does the DAO have any accountability mechanisms that subject the power of leaders and managers to the members?,Partial,"Facilitators of Core Units can be offboarded following MIP4c2-SP15. Though, there does not appear to be explicit language on accountability mechanisms. However, no sources found regarding accountability mechanisms for Delegates.",Charles Adjovu,MakerDAO,,,Partial,50.0,50.000
PDC-06,Practicing DAO Cooperativism,Accountability,"Does the DAO have an amendment procedure for its rules, procedures or policies?",Yes,The amendment procedure for MIPs is described in MIP4: MIP Amendment and Removal Process.,Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
PDC-07,Practicing DAO Cooperativism,Accountability,Does the DAO have a decision-making matrix?,Yes,Maker DAO has determined the decisions major entities can have in Maker DAO.,Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
PDC-08,Practicing DAO Cooperativism,Measurement,"Does the DAO have metrics beyond governance and finance, such as contributor well-being or happiness?",Does not answer question,Unable to find an adequate source,Charles Adjovu,MakerDAO,,,Does not answer question,0.0,0.000
PDC-09,Practicing DAO Cooperativism,Ownership,Does the DAO have separate tokens for governance and economic rights?,No,"MakerDAO's token (MKR) acts as a governance token and a re-capitalization source.
",Charles Adjovu,MakerDAO,,,No,0.0,0.000
PDC-10,Practicing DAO Cooperativism,Economic,Does the DAO not make governance tokens tradeable?,No,MakerDAO's governance token (MKR) is tradable in multiple markets.,Charles Adjovu,MakerDAO,,,No,0.0,0.000
PDC-11,Practicing DAO Cooperativism,Engagement,Does the DAO provide education and training opportunities for members to meaningful participate in governance?,Yes,"MakerDAO offers multiple resources for members to educate themselves about MakerDAO's governance processes on the Learn section of their website, such as [How Voting Works](https://makerdao.world/en/learn/governance/how-voting-works), [Participation Tools](https://makerdao.world/en/learn/governance/participate),  [Voting Wallet Setup](https://makerdao.world/en/learn/governance/voting-setup/), and [Governance FAQs](https://makerdao.world/en/learn/governance/governance-faq), and [Awesome MakerDAO](https://awesome.makerdao.com/#faqs).",Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
CPB-01,Cultural Patterns and Brand,Narratives,Does the DAO publish content on its activites in its' public channels?,Yes,MakerDAO posts about it's activities on it's public channels including Twitter and YouTube.,Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
CPB-02,Cultural Patterns and Brand,Identity,"Does the DAO make an explicit, clearly articulated statement of its purpose, values and norms?",Yes,"MakerDAO explicitly states its' five core governance principles:

1. Scientific Governance
2. Serving the underserved
3. Sustainable Finance
4. Gradual Decentralization
5. Driving Dai Adoption
",Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
IDA-01,Information & Data Transparency,Analytics,Does the DAO provide an organizational analytics dashboard?,Yes,"Maker DAO has an organizational analytics dashboard, but it is missing information on forum activity and other social data.",Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
IDA-02,Information & Data Transparency,Information,"Does the DAO make its governance activities (e.g., proposals, decisions) publicly accessible at free to low-cost?",Yes,"MakerDAO's governance activities can be found on the:

1. MakerDAO: Governance Analytics Dashboard,
2. MCD Governance Tracker, and
3. Governance Voting Portal",Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
IDA-03,Information & Data Transparency,Information,"Does the DAO make its organizational documents (bylaws, policies, strategic plan, etc.) publicly accessible at free to low-cost?",Yes,"Maker DAOs organizational documents are generally stored in their Maker Improvement Proposal (MIPs) Portal, or described in the Maker Operation Manual and FAQs.",Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
IDA-04,Information & Data Transparency,Information,"Does the DAO make its technologies open source or source available, and publicly accessible at free to low-cost?",Yes,"MakerDAO has licensed the MakerDAO protocol under the Apache License, Version 2.0. Additionally, Maker DAO describes how to use the Maker protocol in the Maker Technical Docs.",Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
IDA-05,Information & Data Transparency,Audit,"Does the DAO explicitly report whether any Web3 tools it uses, internally or externally, have been audited?",Yes,"MakerDAO has multiple, publicly-accessible audits for Multi-collateral DAI and Single-collateral DAI.",Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
IDA-06,Information & Data Transparency,Information,"Does the DAO explicitly state that it operates on, or interacts with, more than one (1) blockchain?",Partial,"Maker DAO does operate primarily on Ethereum, has a strategy for a multi-chain expansion, and has bridges to multiple blockchains (e.g., Solana), but does not explicitly state so in an easy to find manner for visitors.",Charles Adjovu,MakerDAO,,,Partial,50.0,50.000
IDA-07,Information & Data Transparency,Compensation,Does the DAO explicitly describe it’s financial incentive or compensation structure for contributors?,Yes,"Maker DAO describes how Core Units budget resources and compensate contributors in MIP4c2-SP19: MIP40 Budget Process Amendment. Additionally, there is a recognized process for compensating recognized delegates.",Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
D2D-01,DAO2DAO,Transactions,Does the DAO have any planned transactions with another DAO?,Yes,"Maker DAO has a planned transaction with Optimism, described in “The Interstellar Dai Journey” proposal.",Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
D2D-02,DAO2DAO,Transactions,Does the DAO have any current transactions with another DAO?,Yes,Maker DAO has a current transaction with Osmosis via Maker Teleport.,Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
OT-01,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for business-to-business operations?,Yes,Maker Teleport is used by  Maker DAO for B2B operations.,Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
OT-02,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for treasury management?,Yes,Maker DAO uses Gnosis Safe as tool for one of it's multi-signature wallets.,Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
OT-03,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for contribution-tracking?,No,Maker DAO does not use any Web3 organizational technology for contribution-tracking.,Charles Adjovu,MakerDAO,,,No,0.0,0.000
OT-04,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for decision-making?,Yes,MakerDAO utilizes their Maker Governance Portal for governance activities. Members of MakerDAO can login with their Web3 wallet and interact with the portal.,Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
HCAG-01,Human-centered Algorithmic Governance,Accountability,Does the DAO explicitly acknowledge the possible vulnerabilities of algorithmic decision-making?,Yes,Maker DAO acknowledges the possible vulnerabilities of algorithmic decision-making by including GSM (Governance Security Module) Pause Delay parameter in the Maker Protocol.,Charles Adjovu,MakerDAO,,,Yes,100.0,100.000
HCAG-02,Human-centered Algorithmic Governance,Engagement,"Does the DAO educate its members on the development and use of algorithms, as they pertain to the DAO?",Partial,"Maker DAO provides technical documentation on the Maker Protocol in the Maker Operational Manual and Maker Technical Docs, but no educational materials to explain the development and use of algorithms.",Charles Adjovu,MakerDAO,,,Partial,50.0,50.000
